id,citation_and_access_note,title,primary_url,review_date
1,"ICAIF 2026, [AI-Driven Market Microstructure in Centralized and Decentralized Finance](https://icaif2026.org/workshop.html). 공식 범위 확인. 제출·채택 보장을 의미하지 않음.",AI-Driven Market Microstructure in Centralized and Decentralized Finance,https://icaif2026.org/workshop.html,2026-09-09
2,"Kang, C.-M., Kang, H.-G., Kim, D., Sul, H. K. (2025), [Stablecoin and cross-border crypto market integration](https://doi.org/10.1016/j.econlet.2025.112704), Economics Letters 257, 112704. 출판사 공개 자료 및 이전 검토 근거.",Stablecoin and cross-border crypto market integration,https://doi.org/10.1016/j.econlet.2025.112704,2026-09-09
3,"Seo, M. H., Koo, B., Yang, Y. F. (2024), [Nonlinear dynamics of Kimchi premium](https://researchmgt.monash.edu/ws/portalfiles/portal/590976616/586624035_oa.pdf), Economic Modelling 135, 106726. 저자기관 공개 전문.",Nonlinear dynamics of Kimchi premium,https://researchmgt.monash.edu/ws/portalfiles/portal/590976616/586624035_oa.pdf,2026-09-09
4,"Lee, M. C. (2026), [Stablecoin risk – a hybrid Copula-GARCH–QT framework for early warning, tail quantiles, and co-depeg dynamics](https://www.sciencedirect.com/science/article/pii/S1062940826000768), NAJEF 85, 102654. 공개 초록·설명 확인, 전체 실험표·재현 미확인.","Stablecoin risk – a hybrid Copula-GARCH–QT framework for early warning, tail quantiles, and co-depeg dynamics",https://www.sciencedirect.com/science/article/pii/S1062940826000768,2026-09-09
5,"Basilico 외, [Making or breaking the peg? Predicting stablecoins’ Betelgeuse moment](https://www.ecb.europa.eu/pub/pdf/scpops/ecb.op382.pt.pdf?a36a0ad16e6f148609edc395d6c67820=), CAMEG 2025 Conference 초록, ECB Occasional Paper 382 (2026), p.14. 원고 전체가 아닌 발표 초록. [2026년 6월 Bundesbank 발표 일정](https://www.bundesbank.de/resource/blob/896652/457c1cfdc92d88b3c01d35603f988506/472B63F073F071307366337C94F8C870/2026-06-18-eltville-programme-data.pdf)에도 관련 제목 확인.",Making or breaking the peg? Predicting stablecoins’ Betelgeuse moment,https://www.ecb.europa.eu/pub/pdf/scpops/ecb.op382.pt.pdf?a36a0ad16e6f148609edc395d6c67820=,2026-09-09
6,"Cintra, T. N., Holloway, M. P. (2023), [Detecting Depegs: Towards Safer Passive Liquidity Provision on Curve Finance](https://arxiv.org/html/2306.10612v1), arXiv:2306.10612. 전문, 특히 §6.4의 ensemble·calibration 향후 방향 확인.",Detecting Depegs: Towards Safer Passive Liquidity Provision on Curve Finance,https://arxiv.org/html/2306.10612v1,2026-09-09
7,"Song, A., Seo, E., Kim, H. (2025), [Deep Learning-based Anomaly Detection in the USDT Stablecoin](https://www.ki-it.com/xml/45856/45856.pdf), Journal of KIIT 23(7), 155–166. DOI 10.14801/jkiit.2025.23.7.155, 전문.",Deep Learning-based Anomaly Detection in the USDT Stablecoin,https://www.ki-it.com/xml/45856/45856.pdf,2026-09-09
8,"Park, E. H., Lee, Y.-I., Kim, H. Y. (2026), [A Machine Learning-Based Analysis of Short-Term Surges and Listing Premiums for Newly Listed Altcoins on Korean Exchanges Using Offshore Prices and Social Signals](https://journal.kci.go.kr/jksci/archive/articlePdf?artiId=ART003305943), JKSCI 31(2), 87–96. 전문.",A Machine Learning-Based Analysis of Short-Term Surges and Listing Premiums for Newly Listed Altcoins on Korean Exchanges Using Offshore Prices and Social Signals,https://journal.kci.go.kr/jksci/archive/articlePdf?artiId=ART003305943,2026-09-09
9,"Liu, Y. (2026, 저장소 표기), [Point Detectors and Pattern Detectors: Understanding Model Complementarity in Stablecoin Depeg Prediction](https://github.com/Morrow359/Point-Detectors-and-Pattern-Detectors), 저자 작업 논문 저장소. README의 연구 범위 확인; 심사된 출판 논문 또는 독립 검증 성능으로 취급하지 않음.",Point Detectors and Pattern Detectors: Understanding Model Complementarity in Stablecoin Depeg Prediction,https://github.com/Morrow359/Point-Detectors-and-Pattern-Detectors,2026-09-09
10,"Wang, Y., Ren, W., Li, D., Zhu, T., Guan, F. (2026년 8월 게시), [ChainZooming: Projection-Aware Multi-View Anomaly Detection in Large-Scale Stablecoin Transaction Networks](https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7270353), SSRN 작업 논문. 공개 초록만 확인.",ChainZooming: Projection-Aware Multi-View Anomaly Detection in Large-Scale Stablecoin Transaction Networks,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7270353,2026-09-09
